tgt_Y,tgt_M,tgt_D,tgt_tz,temperature,humidity,windspeed,winddirection,6hrain,6hsnow,rainprobability,raintype,seawave,skystatus,ss_numberofturbineinuse,ss
2014,1,12,2,8,50,4.4,321,0,0,20,0,0.5,3,9.944444444,1600.091667
2014,1,12,3,6.1,56,3.6,330,0,0,20,0,0.5,3,9.888888889,1808.301667
2014,1,12,4,5.1,65,4.5,340,0,0,20,0,0.5,3,10,8016.691667
2014,1,12,5,3.1,65,4.5,337,0,0,20,0,1,3,10,7423.627667
2014,1,12,6,2.1,70,4.5,335,0,0,21,0,1,3,10,9209.052
2014,1,12,7,1.1,70,3.4,337,0,0,21,0,1,3,10,9920.213667
2014,1,13,0,2,56,5.3,346,0,0,21,0,1,3,10,5776.377333
2014,1,13,1,3.9,49,4.2,346,0,0,21,0,1,3,10,17904.04567
2014,1,13,2,3.8,44,4.1,344,0,0,21,0,1,3,10,17249.567
2014,1,13,3,1.9,49,5.3,350,0,0,10,0,1,2,10,17382.03033
2014,1,13,4,1.1,59,5.1,10,0,0,10,0,0.5,2,10,12328.53667
2014,1,13,5,0.2,64,5.3,347,0,0,10,0,0.5,2,10,11766.52133
2014,1,13,6,0.1,64,6.1,343,0,0,10,0,0.5,2,10,4933.640667
2014,1,13,7,0,65,6.4,352,0,0,10,0,0.5,2,10,3416.300667
2014,1,14,0,4.3,58,2,15,0,0,10,0,0.5,2,10,4094.436333
2014,1,14,1,5,46,1.8,2,0,0,10,0,0.5,2,10,4737.263667
2014,1,14,2,5,35,4,4,0,0,10,0,0.5,2,10,4696.864333
2014,1,14,3,3,52,4.3,346,0,0,10,0,0.5,2,10,3934.389
2014,1,14,4,2,51,4.5,355,0,0,10,0,0.5,2,10,5909.419333
2014,1,14,5,2.2,56,4.6,352,0,0,10,0,1,2,10,8520.577333
2014,1,14,6,1.2,60,4.5,346,0,0,20,0,1,3,10,7431.807667
2014,1,14,7,1.4,65,4.5,350,0,0,20,0,0.5,3,10,5428.202667
2014,1,15,0,4,55,4.4,2,0,0,10,0,1,2,10,9227.302667
2014,1,15,1,6.1,51,4.3,357,0,0,10,0,1,2,10,10471.35267
2014,1,15,2,5.9,45,4.2,345,0,0,10,0,1,2,10,12594.97033
2014,1,15,3,3.9,55,4.5,346,0,0,10,0,0.5,2,10,12817.83167
2014,1,15,4,2.2,56,3.3,1,0,0,10,0,0.5,2,10,12031.81033
2014,1,15,5,1.7,60,3.2,347,0,0,10,0,0.5,2,10,14443.679
2014,1,15,6,0.8,65,3.3,347,0,0,10,0,0.5,2,10,10193.30233
2014,1,15,7,1.1,71,3.4,349,0,0,10,0,0.5,2,10,5376.492667
2014,1,16,0,3.1,60,4.2,316,0,0,10,0,0.5,2,10,4561.4
2014,1,16,1,6.1,56,4.1,334,0,0,10,0,0.5,2,10,4247.293
2014,1,16,2,5.9,56,4.2,328,0,0,21,0,0.5,3,10,4758.448
2014,1,16,3,3.9,60,3.4,326,0,0,21,0,0.5,3,10,9674.066333
2014,1,16,4,3,60,2.5,317,0,0,21,0,0.5,3,10,9806.036667
2014,1,16,5,2,71,3.4,323,0,0,10,0,0.5,2,10,12355.99333
2014,1,16,6,2.3,70,3.4,346,0,0,10,0,0.5,2,10,10184.46267
2014,1,16,7,2.3,65,3.6,354,0,0,10,0,0.5,2,10,3896.374
2014,1,17,0,5.3,55,3.1,360,0,0,21,0,0.5,3,10,3463.089333
2014,1,17,1,7,45,3.1,354,0,0,21,0,0.5,3,10,9671.263333
2014,1,17,2,8.1,45,2.8,349,0,0,10,0,0.5,2,10,6557.244
2014,1,17,3,5.9,56,3.7,327,0,0,10,0,0.5,2,9.555555556,3779.546667
2014,1,17,4,4.3,72,3.3,325,0,0,20,0,0.5,3,9.666666667,2567.917
2014,1,17,5,4.3,76,3.4,333,0,0,20,0,0.5,3,10,2629.307333
