tgt_Y,tgt_M,tgt_D,tgt_tz,temperature,humidity,windspeed,winddirection,6hrain,6hsnow,rainprobability,raintype,seawave,skystatus,hk1_numberofturbineinuse,hk1,hk2_numberofturbineinuse,hk2
2014,1,14,2,4.5,45,8.5,15,0,0,0,0,1,1,2.611111111,3088.961111,4.944444444,9911.969333
2014,1,14,3,3.6,55,8.2,0,0,0,10,0,1,2,3,3805.305556,5,10749.64633
2014,1,14,4,3.7,60,9.1,1,0,0,20,0,1,3,3,3774.483333,4.944444444,10747.06667
2014,1,14,5,2.8,65,10,5,0,0,20,0,1,3,2.944444444,4166.344444,4.888888889,12368.33933
2014,1,14,6,2.8,65,9.6,360,0,0,20,0,1,3,3,4404.916667,5,13343.40433
2014,1,14,7,2.7,65,9.3,357,0,0,10,0,1,2,3,4118.938889,5,12001.527
2014,1,15,0,4,60,10,8,0,0,10,0,1,2,2.166666667,2808.072222,5,11525.97233
2014,1,15,1,5.9,58,10,358,0,0,10,0,1,2,2,2731.405556,5,13023.86767
2014,1,15,2,5.9,57,8.3,354,0,0,17,0,1,3,2.444444444,2960.183333,5,10621.75467
2014,1,15,3,5.7,60,10.7,355,0,0,10,0,1,2,2.944444444,2597.333333,5,7210.373667
2014,1,15,4,3,60,7.4,5,0,0,10,0,0.5,2,3,2634.322222,5,6780.162333
2014,1,15,5,2.6,60,6.4,16,0,0,10,0,0.5,2,3,2603.35,4.055555556,5480.357333
2014,1,15,6,2.4,60,5.8,18,0,0,10,0,0.5,2,2.944444444,3198.733333,4.777777778,8786.275333
2014,1,15,7,1.8,60,5,11,0,0,10,0,0.5,2,2,2235.65,5,9327.160333
2014,1,16,0,2.8,60,4.4,11,0,0,10,0,0.5,2,2,1626.966667,5,7161.961333
2014,1,16,1,5.1,55,4.5,350,0,0,20,0,0.5,3,2,738.4055556,5,3323.851
2014,1,16,2,5.6,55,4,337,0,0,20,0,0.5,3,2,943.2666667,5,4181.526667
2014,1,16,3,4.9,55,5.1,344,0,0,20,0,0.5,3,2.333333333,1341.955556,5,4999.500667
2014,1,16,4,3.2,57,6.5,350,0,0,20,0,0.5,3,2.222222222,1204.527778,5,4218.585
2014,1,16,5,2.9,60,7.6,343,0,0,20,0,0.5,3,2.388888889,983.3666667,5,3251.517667
2014,1,16,6,2.9,60,8.8,2,0,0,20,0,0.5,3,3,777.0833333,5,2241.880667
2014,1,16,7,3.7,60,8.5,6,0,0,20,0,0.5,3,2.777777778,681.9888889,4.888888889,2022.995333
2014,1,17,0,5.7,55,6.4,18,0,0,20,0,0.5,3,3,1481.844444,4.611111111,3412.469667
2014,1,17,1,7,50,6.9,11,0,0,20,0,0.5,3,3,2873.455556,4,5878.859
2014,1,17,2,6.9,50,5,360,0,0,10,0,0.5,2,2.944444444,2721.066667,4.5,6347.332
2014,1,17,3,6.1,55,5.6,336,0,0,10,0,0.5,2,2.888888889,453.2388889,5,2004.649667
2014,1,17,4,5.7,60,6.2,311,0,0,20,0,0,3,3,549.8222222,5,1765.215667
2014,1,17,5,5,70,8.5,340,0,0,30,0,0.5,4,2.055555556,179.5388889,5,808.336
2014,1,17,6,4.1,70,8.6,336,1,0,50,2,1,4,0.277777778,7.794444444,2.166666667,83.90966667
2014,1,17,7,3.7,65,7.9,337,1,0,30,3,1,4,1.944444444,382.1888889,3.333333333,1053.609
2014,1,18,0,5.9,60,13.1,344,0,0,23,0,1.5,3,2.5,1064.583333,5,3538.453333
2014,1,18,1,6.3,55,13.3,333,0,0,20,0,1.5,3,2,2561.666667,4.055555556,9369.513
2014,1,18,2,5.9,53,13.7,334,0,0,20,0,1.5,3,2,3010.688889,4,11578.22033
2014,1,18,3,4.9,53,16.4,342,0,0,20,0,2,3,2.333333333,3483.011111,4.388888889,12330.778
2014,1,18,4,4.6,54,13.9,341,0,0,20,0,2,3,3,4551.127778,5,13914.192
2014,1,18,5,3.8,50,12.4,348,0,0,20,0,2,3,3,4562.816667,5,14756.827
2014,1,18,6,3.8,60,11.2,351,0,0,10,0,2,2,2.944444444,4407.85,5,14889.946
2014,1,18,7,3,60,9.7,355,0,0,10,0,1.5,2,3,4545.1,5,14849.64533
2014,1,19,0,4.1,60,8.1,2,0,0,10,0,1,2,2.833333333,4169.422222,4.5,12753.93767
2014,1,19,1,5.4,50,4.1,18,0,0,10,0,1,2,1.944444444,2332.811111,4,7820.315
2014,1,19,2,6.2,50,2.4,354,0,0,10,0,0.5,2,2,1390.733333,4,3756.274
2014,1,19,3,5.9,55,4.8,250,0,0,20,0,0.5,3,2.444444444,538.0222222,4.555555556,1729.403667
2014,1,19,4,4.8,65,5,228,0,0,20,0,0.5,3,2.722222222,312.4055556,4.888888889,1222.209
2014,1,19,5,6.2,67,7.8,249,0,0,20,0,0.5,3,1.555555556,96.02222222,3.388888889,484.4233333
2014,1,19,6,6.2,65,7.7,243,0,0,30,0,0.5,4,0,0,1.333333333,52.96333333
2014,1,19,7,7.1,62,8.8,246,0,0,30,0,1,4,2.388888889,282.1388889,5,1075.562667
2014,1,20,0,8.8,58,9.7,268,0,0,30,0,1.5,4,2,1489.583333,4.444444444,4093.945
2014,1,20,1,10,50,11.2,305,0,0,30,0,2,4,2,2580.9,4,7523.602667
2014,1,20,2,9,51,11.9,293,0,0,20,0,2,3,2.388888889,3083.972222,4.388888889,9354.843
2014,1,20,3,6.5,57,14.3,302,0,0,20,0,2,3,3,3748.711111,4.944444444,8877.047333
2014,1,20,4,4.9,58,14.1,311,1,0,20,0,2,3,3,3991.533333,5,11299.439
2014,1,20,5,3.8,62,14.6,326,1,0,49,2,2.5,3,2.944444444,3808.272222,5,11597.82033
2014,1,20,6,2.8,62,15,322,0,0,30,0,2.5,3,3,4515.116667,5,14623.753
2014,1,20,7,1.9,60,14.9,319,0,0,30,0,3,3,2.944444444,4348.716667,4.944444444,14258.168
2014,1,21,0,1.9,68,15.4,322,1,1,61,3,3,3,2.611111111,3808.283333,4.777777778,12864.77933
2014,1,21,1,2.6,68,15.2,326,0,0,21,0,2.5,3,1.555555556,2347.95,4,11473.20833
2014,1,21,2,2.6,65,14.5,328,1,1,60,3,2.5,3,1.888888889,2706.755556,4.277777778,11737.018
2014,1,21,3,2,60,14.9,336,0,0,21,0,2.5,3,2.833333333,4102.522222,4.944444444,14087.60933
2014,1,21,4,2,65,13.1,341,0,0,30,0,2.5,3,3,4547.505556,5,14546.61733
2014,1,21,5,1.9,65,12,340,0,0,30,0,2,3,2.833333333,4076.805556,4.611111111,12884.73933
2014,1,21,6,2,65,11.4,342,0,0,20,0,2,3,2.888888889,4371.927778,4.722222222,13464.006
2014,1,21,7,1.6,61,11,344,0,0,20,0,1.5,3,3,4553.8,4.333333333,12364.324
2014,1,22,0,3.1,60,7.8,347,0,0,20,0,1.5,3,3,4298.027778,3.722222222,9655.036
2014,1,22,1,3.9,60,7.4,344,0,0,20,0,1,3,2.5,3211.361111,3,6682.617333
2014,1,22,2,4.9,60,7.4,343,0,0,20,0,1,3,2.444444444,3008.594444,4,8112.196333
2014,1,22,3,4.7,60,6.2,344,0,0,10,0,1,2,3,2996.016667,4.666666667,7099.236667
2014,1,22,4,4.3,55,7.8,1,0,0,10,0,1,2,2.944444444,2562.016667,4,5529.396
2014,1,22,5,3.3,65,6.2,6,0,0,0,0,0.5,1,3,2494.45,4.222222222,5399.099667
2014,1,22,6,1.8,67,4.3,10,0,0,0,0,0.5,1,3,2211.083333,5,5280.875667
2014,1,22,7,2,65,3.6,9,0,0,0,0,0.5,1,2.833333333,1780.605556,5,4927.646333
2014,1,23,0,4.4,66,3.4,16,0,0,0,0,0.5,1,2.944444444,770.5944444,4.777777778,2204.021667
2014,1,23,1,7,61,3.6,302,0,0,0,0,0.5,1,2.944444444,562.6333333,4,1336.734333
2014,1,23,2,8,56,2.2,306,0,0,0,0,0.5,1,2.5,415.5666667,4.277777778,1207.036667
2014,1,23,3,7.1,60,2.1,206,0,0,0,0,0,1,1.888888889,178.5444444,4.5,955.187
2014,1,23,4,5.9,65,3.3,175,0,0,0,0,0,1,0.333333333,5.783333333,1.777777778,120.3276667
2014,1,23,5,5.9,65,3.5,195,0,0,0,0,0,1,0,0,0.333333333,6.844666667
2014,1,23,6,5.8,65,5.6,202,0,0,0,0,0.5,1,0,0,0.777777778,19.29433333
2014,1,23,7,8.5,65,6,214,0,0,10,0,0.5,2,2.666666667,452.7611111,4.166666667,1162.291667
2014,1,24,0,10.2,61,7.1,199,0,0,10,0,1,2,3,842.8777778,5,3176.298667
2014,1,24,1,12.4,56,7.4,201,0,0,10,0,1,2,3,1456.516667,5,5036.513333
2014,1,24,2,13.3,56,7.7,207,0,0,10,0,1,2,3,1401.816667,5,3679.234
2014,1,24,3,12.3,56,7.4,197,0,0,10,0,1,2,3,2305.994444,5,6390.565
2014,1,24,4,11.6,75,8,197,0,0,20,0,1,3,3,2784.877778,5,7732.544
2014,1,24,5,10.9,75,7.9,199,0,0,20,0,1,3,3,3264.194444,5,8355.375667
2014,1,24,6,11.8,75,8.6,200,0,0,20,0,1,3,3,1299.433333,5,4059.293
2014,1,24,7,12.8,65,8.6,203,0,0,30,0,1.5,4,3,2224.2,5,8066.426667
2014,1,25,0,14.9,65,10.3,206,0,0,30,0,1.5,4,3,2938.666667,5,10736.70967
2014,1,25,1,15.4,70,9.4,228,0,0,30,0,1.5,4,3,3784.922222,5,12927.177
2014,1,25,2,14,75,7.7,251,0,0,29,0,1.5,4,3,3519.161111,5,11880.89167
2014,1,25,3,12.1,75,7.3,318,0,0,20,0,1.5,3,3,4340.422222,5,13463.66967
2014,1,25,4,7.9,70,12.7,357,0,0,20,0,1.5,3,3,4232.444444,5,11814.88167
2014,1,25,5,7.7,65,11.8,359,0,0,20,0,1.5,3,3,1833.138889,5,4553.816333
2014,1,25,6,6.3,60,11.2,359,0,0,10,0,1.5,2,3,3918.666667,5,12169.67267
2014,1,25,7,5.3,60,11.5,356,0,0,10,0,2,2,3,4449.25,5,14622.389
2014,1,26,0,4.9,54,12.1,0,0,0,10,0,2,2,2.888888889,4118.172222,5,14648.32167
2014,1,26,1,6,48,12.5,5,0,0,0,0,2,1,3,4535.544444,5,14883.30567
2014,1,26,2,6.1,50,11.1,3,0,0,0,0,2,1,3,4558.6,5,14927.271
2014,1,26,3,5,55,10.2,6,0,0,0,0,1.5,1,3,4564.061111,5,14905.485
2014,1,26,4,3.7,55,6.6,17,0,0,0,0,1,1,3,4394.555556,5,13425.11767
2014,1,26,5,3.2,55,5.1,29,0,0,0,0,1,1,3,4136,5,11695.368
2014,1,26,6,3.1,60,2.9,36,0,0,0,0,1,1,3,2995.266667,5,7576.488
2014,1,26,7,4,61,1.8,49,0,0,0,0,0.5,1,3,1247.916667,5,3588.946333
2014,1,27,0,5.9,55,3.5,152,0,0,0,0,0.5,1,2.777777778,451.4444444,5,1974.722667
2014,1,27,1,10,45,5,233,0,0,0,0,0.5,1,0.666666667,47.55555556,2.888888889,366.638
2014,1,27,2,11.4,45,4.6,220,0,0,0,0,0.5,1,0.5,17.43333333,1.333333333,176.7023333
2014,1,27,3,10.1,55,4.1,194,0,0,10,0,0.5,2,0,0,0,0
2014,1,27,4,7.9,60,5,213,0,0,10,0,0.5,2,0.222222222,2.888888889,1.777777778,79.71733333
2014,1,27,5,7.3,60,5.3,207,0,0,10,0,0.5,2,2.333333333,84.98333333,4.833333333,535.98
2014,1,27,6,7.4,60,3.7,230,0,0,10,0,1,2,1.944444444,111.0055556,4.5,527.6756667
2014,1,27,7,8.3,60,4.8,256,0,0,20,0,1,3,1.944444444,100.3333333,4.777777778,917.2446667
2014,1,28,0,9.3,65,5.8,294,0,0,20,0,1,3,2.888888889,899.6555556,5,2778.662
2014,1,28,1,10,69,5.4,337,0,0,20,0,0.5,3,3,1363.316667,5,3457.053667
2014,1,28,2,9.6,73,7.8,6,0,0,20,0,0.5,3,3,888.4222222,5,2172.053333
2014,1,28,3,8,68,7.6,8,0,0,10,0,1,2,2.944444444,307.2388889,5,1054.952667
2014,1,28,4,7.3,58,7.2,19,0,0,10,0,1,2,3,855.6666667,4.833333333,2229.632667
2014,1,28,5,6.1,58,5.6,19,0,0,10,0,1,2,3,1914.044444,5,4851.959
2014,1,28,6,4,58,5.3,23,0,0,10,0,1,2,3,3586.872222,5,9550.907333
2014,1,28,7,4.4,58,3.3,50,0,0,10,0,1,2,3,2427.322222,5,6689.53
2014,1,29,0,7.4,54,3,75,0,0,10,0,0.5,2,2.944444444,751.7722222,5,3037.860667
2014,1,29,1,12.9,50,5.4,153,0,0,10,0,0.5,2,2.166666667,257.4,5,1568.231
2014,1,29,2,13.9,55,6.7,169,0,0,20,0,0.5,3,2.333333333,278.45,5,1600.600667
2014,1,29,3,13.1,65,5.4,169,0,0,20,0,0.5,3,1.333333333,173.6833333,3.555555556,745.4366667
2014,1,29,4,11.7,80,5.5,183,5,0,30,0,0.5,4,3,1931.872222,5,4369.14
2014,1,29,5,10.6,85,4.9,230,5,0,60,1,0.5,4,3,1256.5,5,2739.483667
2014,1,29,6,10.7,85,6,206,5,0,70,1,0.5,4,3,686.0222222,5,1924.933333
2014,1,29,7,10.5,80,7.9,240,5,0,58,1,0.5,4,2.5,436.6777778,4.444444444,1516.093667
2014,1,30,0,11.7,79,9,278,0,0,20,0,1,3,2.666666667,1421.444444,5,4812.696667
2014,1,30,1,11.9,74,9.9,287,0,0,20,0,1,3,3,1314.75,5,2949.276333
2014,1,30,2,12.3,72,9.2,295,0,0,20,0,1,3,3,2476.322222,5,6839.391
2014,1,30,3,10.9,70,10.6,332,0,0,20,0,1,3,3,1929.25,5,4741.095
2014,1,30,4,9.9,75,9.1,351,0,0,20,0,1,3,3,2599.211111,5,5770.936
2014,1,30,5,8.3,75,6.7,11,0,0,10,0,1,2,3,2041.627778,5,5515.261
2014,1,30,6,7.3,70,5.3,29,0,0,0,0,1,1,2.777777778,2796.605556,5,8186.413333
2014,1,30,7,6.1,60,4.1,45,0,0,0,0,0.5,1,3,1708.444444,5,4547.265
2014,1,31,0,8.3,55,4.1,64,0,0,0,0,0.5,1,3,1163.472222,5,3044.081667
2014,1,31,1,13.5,50,2.6,86,0,0,0,0,0.5,1,2.833333333,696.7388889,5,2543.55
2014,1,31,2,14.2,51,1.5,112,0,0,0,0,0.5,1,2.5,573.1944444,5,2648.126667
2014,1,31,3,12.7,60,3.8,117,0,0,0,0,0.5,2,1.611111111,126.5444444,3.277777778,555.2353333
2014,1,31,4,10.9,72,3.1,118,0,0,10,0,0.5,1,3,764.3055556,5,1814.753333
2014,1,31,5,10,73,4.5,162,0,0,10,0,0.5,1,3,1103.055556,5,2461.804667
2014,1,31,6,10.3,77,5.1,184,0,0,10,0,0.5,2,3,919.1055556,5,2794.814
2014,1,31,7,11.6,73,4.8,178,0,0,10,0,0.5,2,3,1711.844444,5,5307.271333
2014,2,1,0,14,85,5.5,180,0,0,10,0,0.5,2,3,2031.277778,5,5141.197
2014,2,1,1,16.1,85,7.1,174,0,0,20,0,1,3,3,1792.683333,5,4519.540333
2014,2,1,2,16,90,7.1,167,5,0,51,1,1,4,3,2265.466667,5,5452.253667
2014,2,1,3,15.5,90,6.5,197,5,0,60,1,0.5,4,3,1935.144444,5,5628.546333
2014,2,1,4,14.6,90,5.9,219,0,0,30,0,0.5,4,3,2052.705556,5,6400.252333
2014,2,1,5,13.4,90,4.8,224,0,0,20,0,0.5,3,3,1371.3,5,4853.879333
2014,2,1,6,12.3,90,4.7,239,0,0,20,0,0.5,3,3,1448.761111,5,4404.459333
2014,2,1,7,11.5,85,4.2,259,0,0,20,0,0.5,3,3,1012.383333,5,2222.617333
2014,2,2,0,11.7,83,8.3,329,0,0,20,0,0.5,3,2.833333333,322.3166667,5,1120.403333
2014,2,2,1,12.4,78,5.3,340,0,0,20,0,0.5,3,0.555555556,13.51111111,2.277777778,133.5726667
2014,2,2,2,13.1,78,6.2,350,0,0,20,0,0.5,3,1.666666667,390.4888889,3.944444444,1151.716
2014,2,2,3,10.9,75,6.3,326,0,0,20,0,0.5,3,3,1018.733333,5,2429.095667
2014,2,2,4,9.9,85,4.4,336,0,0,20,0,0.5,3,3,1631.666667,5,4086.558667
2014,2,2,5,8.9,85,7.2,344,0,0,30,0,0.5,4,3,971.0611111,4.888888889,2421.766333
2014,2,2,6,7.8,90,7.4,342,0,0,30,0,1,4,2.277777778,327.2,4.333333333,1047.156667
2014,2,2,7,6.9,85,9.2,349,0,0,30,0,1,4,3,694.7666667,5,1705.753333
